V1,heard_of_drones,what_is_Chtofrjk,decide_intent,ai_have_intent,responsible_programmer,responsible_AI_employer,responsible_instructor,responsible_Human_employer,why_responsibility,pilot_mistake,drone_error,heard_of_ai,ai_means_what,PROLIFIC_PID,country_name,country_adj,Intent_word,second_Intent_word,first_Intent_word,Definition,second_Definition,first_Definition,pilot,your_WF_LT_BT_Benefit,your_WF_LT_BT_Intent,your_WF_LT_BT_Desire,your_WF_LT_BT_Skills,your_WF_LT_BT_Break_the_law,your_WF_LT_BT_Cause,your_WF_LT_BT_Decision_freedom,your_WF_LT_BT_Predict,your_WF_LF_BT_Benefit,your_WF_LF_BT_Intent,your_WF_LF_BT_Desire,your_WF_LF_BT_Skills,your_WF_LF_BT_Break_the_law,your_WF_LF_BT_Cause,your_WF_LF_BT_Decision_freedom,your_WF_LF_BT_Predict,your_WT_LT_BT_Benefit,your_WT_LT_BT_Intent,your_WT_LT_BT_Desire,your_WT_LT_BT_Skills,your_WT_LT_BT_Break_the_law,your_WT_LT_BT_Cause,your_WT_LT_BT_Decision_freedom,your_WT_LT_BT_Predict,your_WT_LF_BT_Benefit,your_WT_LF_BT_Intent,your_WT_LF_BT_Desire,your_WT_LF_BT_Skills,your_WT_LF_BT_Break_the_law,your_WT_LF_BT_Cause,your_WT_LF_BT_Decision_freedom,your_WT_LF_BT_Predict,your_WF_LT_BF_Benefit,your_WF_LT_BF_Intent,your_WF_LT_BF_Desire,your_WF_LT_BF_Skills,your_WF_LT_BF_Break_the_law,your_WF_LT_BF_Cause,your_WF_LT_BF_Decision_freedom,your_WF_LT_BF_Predict,your_WF_LF_BF_Benefit,your_WF_LF_BF_Intent,your_WF_LF_BF_Desire,your_WF_LF_BF_Skills,your_WF_LF_BF_Break_the_law,your_WF_LF_BF_Cause,your_WF_LF_BF_Decision_freedom,your_WF_LF_BF_Predict,your_WT_LT_BF_Benefit,your_WT_LT_BF_Intent,your_WT_LT_BF_Desire,your_WT_LT_BF_Skills,your_WT_LT_BF_Break_the_law,your_WT_LT_BF_Cause,your_WT_LT_BF_Decision_freedom,your_WT_LT_BF_Predict,your_WT_LF_BF_Benefit,your_WT_LF_BF_Intent,your_WT_LF_BF_Desire,your_WT_LF_BF_Skills,your_WT_LF_BF_Break_the_law,your_WT_LF_BF_Cause,your_WT_LF_BF_Decision_freedom,your_WT_LF_BF_Predict,Formal_WF_LT_BT_Benefit,Formal_WF_LT_BT_Intent,Formal_WF_LT_BT_Desire,Formal_WF_LT_BT_Skills,Formal_WF_LT_BT_Break_the_law,Formal_WF_LT_BT_Cause,Formal_WF_LT_BT_Decision_freedom,Formal_WF_LT_BT_Predict,Formal_WF_LF_BT_Benefit,Formal_WF_LF_BT_Intent,Formal_WF_LF_BT_Desire,Formal_WF_LF_BT_Skills,Formal_WF_LF_BT_Break_the_law,Formal_WF_LF_BT_Cause,Formal_WF_LF_BT_Decision_freedom,Formal_WF_LF_BT_Predict,Formal_WT_LT_BT_Benefit,Formal_WT_LT_BT_Intent,Formal_WT_LT_BT_Desire,Formal_WT_LT_BT_Skills,Formal_WT_LT_BT_Break_the_law,Formal_WT_LT_BT_Cause,Formal_WT_LT_BT_Decision_freedom,Formal_WT_LT_BT_Predict,Formal_WT_LF_BT_Benefit,Formal_WT_LF_BT_Intent,Formal_WT_LF_BT_Desire,Formal_WT_LF_BT_Skills,Formal_WT_LF_BT_Break_the_law,Formal_WT_LF_BT_Cause,Formal_WT_LF_BT_Decision_freedom,Formal_WT_LF_BT_Predict,Formal_WF_LT_BF_Benefit,Formal_WF_LT_BF_Intent,Formal_WF_LT_BF_Desire,Formal_WF_LT_BF_Skills,Formal_WF_LT_BF_Break_the_law,Formal_WF_LT_BF_Cause,Formal_WF_LT_BF_Decision_freedom,Formal_WF_LT_BF_Predict,Formal_WF_LF_BF_Benefit,Formal_WF_LF_BF_Intent,Formal_WF_LF_BF_Desire,Formal_WF_LF_BF_Skills,Formal_WF_LF_BF_Break_the_law,Formal_WF_LF_BF_Cause,Formal_WF_LF_BF_Decision_freedom,Formal_WF_LF_BF_Predict,Formal_WT_LT_BF_Benefit,Formal_WT_LT_BF_Intent,Formal_WT_LT_BF_Desire,Formal_WT_LT_BF_Skills,Formal_WT_LT_BF_Break_the_law,Formal_WT_LT_BF_Cause,Formal_WT_LT_BF_Decision_freedom,Formal_WT_LT_BF_Predict,Formal_WT_LF_BF_Benefit,Formal_WT_LF_BF_Intent,Formal_WT_LF_BF_Desire,Formal_WT_LF_BF_Skills,Formal_WT_LF_BF_Break_the_law,Formal_WT_LF_BF_Cause,Formal_WT_LF_BF_Decision_freedom,Formal_WT_LF_BF_Predict
68,I have heard about drones before,the pilot had permission to fly through a specific zone if they met the two criteria,whether they intended to fly through that area or not,"it depends on how it has been programmed, it has to have a goal of some kind",10,10,5,6,"the pilot has autonomy over their decisions, whereas the AI is programmed to behave a certain way by someone else",5,4,Yes,a robot that has been programmed to do something,5dea48ec5b5613164248c9bc,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,10,10,10,1,10,10,10,Yes,10,10,7,10,10,10,10,Yes,7,1,7,1,2,2,6,Yes,1,4,6,1,4,5,5,No,10,10,7,1,10,10,10,No,7,9,6,9,7,7,8,No,0,4,5,0,5,4,4,Yes,0,0,8,0,4,2,3,Yes,9,9,9,1,9,9,9,Yes,8,9,7,8,8,8,8,Yes,8,10,8,2,9,9,9,Yes,3,5,6,3,4,4,6,No,9,9,9,0,10,9,9,No,8,8,8,8,8,8,9,No,2,3,5,0,5,4,4,Yes,2,4,6,2,3,3,4
70,I have heard about drones before,Autonomous flying drones,The way the fly their drone,No unless somebody temper with the system.,7,1,1,1,"Because if your flying a drone, its your responsibility to control it",5,2,Yes,"Great, i think the AI system is the future",60de293b31bac94001a6d980,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,10,10,0,10,10,10,No,8,8,8,8,7,7,7,Yes,3,2,8,2,2,3,6,No,0,1,7,0,0,0,0,Yes,8,7,7,3,7,7,7,No,8,8,8,6,7,7,8,No,5,7,5,1,7,5,6,Yes,1,1,9,2,7,6,6,Yes,8,8,8,0,7,8,7,Yes,8,9,9,9,9,9,9,Yes,8,3,8,2,8,8,8,Yes,8,9,9,9,9,9,9,Yes,9,8,8,0,8,8,8,No,8,6,6,6,6,7,7,Yes,7,3,9,0,9,9,9,Yes,7,1,6,2,6,6,3
73,I have heard about drones before,Its strict and inconsiderate,Conditions and situations they can easily handle with care,No. They are programmed elements,6,3,3,6,Considerable factors best known to me,6,7,Yes,Some autonomous controlled elements,60dd582e20e058641847b5b6,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,5,3,6,4,3,5,6,Yes,5,2,5,3,6,3,5,Yes,5,4,5,2,7,3,5,Yes,5,3,4,3,5,3,6,No,5,3,3,6,3,5,7,Yes,2,2,4,5,3,5,6,Yes,5,4,4,7,3,5,3,No,4,2,5,1,4,5,7,Yes,6,2,5,4,5,5,7,Yes,4,2,4,3,6,3,7,No,5,1,4,5,3,4,6,No,4,3,4,2,6,3,4,No,3,3,5,4,6,3,5,No,5,2,3,4,6,3,5,No,4,3,4,2,4,6,5,No,4,2,4,5,3,5,7
74,I have heard about drones before,"Permit, allowances, permission ",The arrows and distance length,No it is manufactured to do what is encripted to do,7,9,9,9,Responsibility must be held by the employer or manufacturer,6,5,Yes,Computer based pilots,60e0c1641783315b4e6ed5c7,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,10,10,1,10,10,10,Yes,10,10,9,10,9,9,9,Yes,3,2,8,1,2,5,5,No,1,1,9,1,1,9,2,Yes,9,9,9,1,9,9,9,No,9,8,7,2,10,10,8,No,1,3,7,1,6,5,6,No,2,6,8,1,5,4,2,Yes,10,10,10,10,10,10,10,Yes,9,10,10,10,9,9,9,No,7,3,6,2,3,6,2,Yes,1,2,2,3,5,5,5,Yes,7,10,10,9,10,10,9,No,2,10,9,8,8,8,9,No,2,5,4,2,5,5,5,No,2,4,3,7,3,3,4
75,I have heard about drones before,exemptions / allowance / exception,I tried to relate each scenario to Cthofrjk and estimate how much it fulfilled the terms,AI was built by humans and can therefore have bias in its programming so I think an AI pilot can have intent.,0,0,0,0,"I believe that the responsibility lies with the one who is informed about the law and still chooses to break it.  I don't think ",5,5,Yes,The planning of the route and driving of the drone are automated by software.,60df0cc20d7ae4e27ea035ac,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,10,10,0,10,10,10,No,10,10,9,10,10,9,9,Yes,0,9,9,1,8,8,7,Yes,2,7,6,2,6,5,5,No,10,10,10,0,9,9,9,No,10,7,5,4,10,0,1,No,0,0,5,0,6,6,7,Yes,2,7,6,3,6,8,7,Yes,0,10,10,0,10,10,10,Yes,10,10,9,9,10,10,10,Yes,0,7,8,1,7,7,7,Yes,6,7,7,3,9,7,5,No,0,10,10,0,10,10,10,No,10,7,6,10,9,7,10,No,0,3,7,3,2,3,3,Yes,9,5,6,7,7,7,5
3,I have heard about drones before,Them deciding to fly through that zone,The arrows and the wind changes,"Yes of course, because if it goes the wrong route the AI will correct it",3,3,10,10,It’s just how I feel,10,5,Yes,A robot flying the plane,60e1ad4eb1af4648ebd18b70,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,8,7,10,6,6,7,5,Yes,8,7,8,0,4,4,5,Yes,9,3,5,5,5,5,9,Yes,7,4,7,0,3,4,4,No,10,7,5,6,4,7,6,No,10,5,8,4,3,6,4,Yes,8,6,5,3,4,5,3,No,1,2,3,1,5,3,2,Yes,2,10,10,2,10,10,10,Yes,3,10,4,10,7,5,9,Yes,8,10,10,10,10,10,10,Yes,1,5,5,5,6,4,7,Yes,9,10,10,10,3,3,5,No,10,10,6,4,5,5,6,Yes,10,8,8,2,5,4,8,Yes,3,1,10,1,4,6,6
4,I have heard about drones before,A desire to achieve the goal in an efficient and controlled way,the wind compared with the benefit of the move,"yes, as the are designed to weight up options on a benefit analysis ",1,3,1,3,"The buck will ultimately stop with the employer, if the trainer gave proper training they can not be held later responsible ",6,3,Yes,Software capable of reading forecasts and making informed decisions on routes,60de05dd943d0f15556c656f,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,10,10,10,9,10,9,9,Yes,1,8,6,10,7,6,8,Yes,9,8,7,2,8,7,8,Yes,1,7,6,9,7,7,8,No,10,7,3,5,8,9,5,No,2,3,2,4,5,3,3,No,7,9,7,10,10,10,8,Yes,1,2,4,4,7,4,3,Yes,9,9,10,1,9,9,9,Yes,5,8,7,7,8,6,5,Yes,9,8,7,4,6,6,7,Yes,8,7,5,7,6,7,6,No,1,4,5,1,7,5,4,No,1,2,3,2,5,3,2,Yes,8,9,8,1,9,8,6,Yes,4,5,4,4,7,6,5
7,I have heard about drones before,Making the conscious action to fly to a particular zone,Looking at the map direction and considering wind,yes because they’ll follow their programmed instructions,6,8,8,7,I made them based on considering if it was a human or and AI,6,2,Yes,No humans required to fly,60e10ed73b3d207be7f805e3,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,10,10,10,1,10,8,6,Yes,10,8,7,7,8,6,1,Yes,5,4,5,3,3,4,6,Yes,2,2,2,5,2,4,2,No,10,10,6,1,10,7,6,No,1,2,3,9,2,4,5,Yes,3,1,6,0,6,2,2,Yes,4,3,5,4,6,6,5,Yes,10,10,10,0,10,1,9,Yes,7,10,7,8,7,4,7,Yes,2,1,3,2,1,4,2,Yes,0,1,2,4,3,2,2,No,9,7,5,0,10,9,8,No,3,5,8,3,5,3,4,Yes,0,5,4,0,2,4,3,Yes,2,2,3,6,2,3,5
9,I have heard about drones before,Both planning and desiring to do something,the direction the arrows were pointing in the flight plan,"Yes, because it will have a plan for the way to go",10,5,10,6,"The AI has no will of its own, so the programmer must be responsible",0,7,Yes,computerised decision making and driving of the drone,5d288cc0710db10018bdef31,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,10,10,10,0,10,10,10,Yes,10,10,10,8,9,10,10,Yes,10,6,6,1,6,8,7,Yes,0,4,8,0,3,6,7,No,10,10,1,0,10,10,10,No,5,8,8,6,7,8,8,No,0,3,4,1,2,4,4,No,4,6,3,4,4,5,5,Yes,10,10,10,0,10,10,10,Yes,10,10,7,10,10,10,10,Yes,0,3,6,0,5,5,5,Yes,0,3,6,1,5,3,5,No,10,10,3,0,10,10,10,No,10,6,4,7,8,9,8,No,0,2,4,0,3,3,3,No,0,2,3,0,3,2,2
10,I have heard about drones before,"Morality, conditional ",If it was legal or illegal,"Yes, because it is a program that can test out scenarios ",10,10,10,10,Because someone should be held accountable.,7,7,Yes,A program to oversee a specific purpose it was designed for.,5c634cf0c30e390001ce2307,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,7,8,8,8,7,6,6,Yes,1,8,8,6,8,5,6,Yes,7,7,10,6,10,6,8,Yes,7,7,7,5,6,7,7,Yes,10,7,9,4,7,8,7,No,7,7,7,6,8,9,9,No,7,6,2,4,9,6,2,No,9,8,7,7,8,8,8,Yes,8,10,10,1,10,7,9,No,10,7,5,10,4,10,5,Yes,10,10,10,1,10,9,8,No,10,10,10,10,8,8,8,Yes,10,10,10,1,10,9,9,No,10,10,2,10,8,10,8,Yes,10,10,7,1,10,7,6,No,10,7,3,10,9,7,7
12,I have heard about drones before,"Mens Rea, Intent, Knowlege",Whether there was wind or not,"Not sure, probably lean on the side of yes as it does it without human input",10,10,6,6,"In real life, vicarious liability generally means an employer is usually held responsible for the actions of the employees - reg",8,8,Yes,Artificial software that runs a program,60dee8e78f202dd7e683b2ac,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,10,10,10,0,10,10,10,Yes,10,10,10,10,10,4,0,Yes,10,10,10,0,10,3,2,Yes,1,0,1,7,1,1,8,No,10,10,9,0,10,8,5,No,8,8,7,10,9,8,5,Yes,0,0,1,10,1,1,10,No,3,4,7,5,0,0,10,Yes,0,10,10,0,10,10,10,Yes,10,10,10,10,10,10,10,Yes,0,1,6,0,2,1,2,Yes,0,3,6,6,1,0,1,No,10,10,10,0,10,10,10,Yes,10,10,10,10,10,10,10,Yes,0,2,10,0,8,6,10,Yes,0,1,7,1,4,1,6
13,I have heard about drones before,"objective, aim, purpose, goal",the wind and the predicted flight length and the actual flight length,yes because someone had to have designed it in a way that it has intent to do something. Someone always has to be responsible,10,8,10,7,the person that made it is completely responsible and the employer should take some responsibility although they dont always kno,5,3,Yes,Knowing the flight path and where to go and how to respond to alternative circumstances,60dfaa93591ed77785918d4b,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,10,10,10,0,10,10,10,Yes,1,2,3,8,8,4,2,Yes,10,10,10,1,9,8,9,Yes,3,1,2,8,5,5,1,No,8,8,8,2,8,6,6,No,7,6,5,5,8,5,6,Yes,10,10,10,1,10,10,10,Yes,3,5,8,4,9,5,3,Yes,10,10,10,1,10,10,10,Yes,8,4,5,8,8,6,4,Yes,10,7,6,1,8,7,4,Yes,9,6,5,8,5,3,3,No,7,8,7,2,8,7,6,No,9,6,7,8,8,7,6,Yes,10,10,10,1,10,10,10,Yes,4,5,5,8,7,7,4
19,I have heard about drones before,"Determined to do something, to do something with purpose",If there was no wind and the plan indicated the intent.,"Yes, its intent or purpose is to reach the destination in the fastest way within legality.",10,10,2,8,"For the AI, its the responsibility of the Software Developer/Employer to make improvements to the AI to prevent it from breaking",1,1,Yes,The AI is the computer that determine the best path to the destination and pilots the drone to the destination.,60e16fe59a9d5dbf5acd9af0,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,0,10,10,0,10,10,10,Yes,10,10,9,9,10,10,10,Yes,0,8,8,0,7,8,10,Yes,2,4,5,0,5,5,4,No,0,10,1,0,10,10,10,No,10,10,5,5,10,10,10,No,0,4,5,0,5,5,4,Yes,10,0,8,1,8,7,7,Yes,10,10,10,0,10,10,10,Yes,10,10,9,10,10,10,10,Yes,0,5,8,0,8,8,10,Yes,0,5,5,0,6,6,2,No,10,10,0,0,10,10,10,No,10,10,3,10,10,10,10,No,0,6,6,0,8,8,4,Yes,0,5,6,0,6,6,0
20,I have heard about drones before,The best word to describe the Fhljmakonian legal concept of intent is illegal,By focusing on whether on the day it was windy or did the coordinates show that the human pilot chose the route,"Yes because, they may not be able to control every movement the drone makes since they are not experienced pilots",5,3,8,4,"I made these judgments because the employer is not telling the pilots or AI pilots to make these decisions, therefore the human ",4,6,Yes,I think it means something relating to robotics,60e0a24fe0ea51877a82be7d,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,10,10,10,1,10,8,1,Yes,10,10,9,7,10,9,2,Yes,10,10,10,1,10,5,2,Yes,10,10,10,10,10,10,10,Yes,7,10,10,1,10,10,8,No,1,7,5,7,10,4,2,Yes,10,10,10,1,10,10,10,Yes,7,8,6,4,10,7,2,Yes,10,10,10,1,10,8,2,Yes,10,10,8,9,10,8,3,Yes,10,8,10,1,10,6,4,Yes,5,5,6,4,10,6,3,Yes,10,10,10,1,10,8,2,No,8,8,5,7,10,10,2,Yes,10,10,10,1,10,6,2,Yes,10,7,8,1,10,7,3
23,I have heard about drones before,planned planning - I can't think of any more,"arrows, and looking to see what might happen next when wind taken into account","yes, as they can anticipate what the wind might do and plan accordingly",6,8,8,7,human feeling can override programming,6,3,Yes,"programmed software, designed to make decisions",5a5f7480acc75b00017aab51,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,9,8,7,4,6,5,6,Yes,1,6,4,5,6,5,6,Yes,8,6,6,4,6,5,6,Yes,1,4,3,5,4,4,4,No,10,4,5,4,5,5,5,No,1,9,5,3,7,5,6,No,8,7,7,2,7,5,8,Yes,2,3,4,4,4,4,6,Yes,7,6,6,4,5,5,5,Yes,6,6,4,6,6,5,6,Yes,7,7,6,4,5,5,5,Yes,5,5,4,5,5,5,6,No,6,6,5,4,6,5,6,No,6,6,3,6,6,5,5,No,6,6,6,4,6,5,6,Yes,3,4,5,4,5,5,6
26,I have heard about drones before,"Probably cause, understanding, plan of action ",Whether there was wind or no wind,No I don’t think an AI pilot can have intent,4,4,10,9,……………………………………………………,6,8,Yes,An artificial machine,60e0bb0286b7a379d36aafba,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,10,10,10,10,10,10,10,Yes,10,10,10,10,10,10,10,Yes,10,10,10,10,10,10,10,Yes,10,10,10,10,10,10,10,No,10,10,10,3,10,10,10,No,4,10,10,10,10,10,10,Yes,10,10,10,10,10,10,10,Yes,10,10,6,7,10,10,10,Yes,10,9,9,9,9,10,9,Yes,10,10,10,10,10,10,10,Yes,10,10,10,10,10,10,10,Yes,10,10,10,8,10,10,10,No,5,10,10,10,9,9,9,No,2,10,8,9,9,9,9,Yes,10,10,9,10,10,9,10,No,4,10,10,10,9,8,10
27,I have heard about drones before,"permission, legal protection",Looking at the proposed course of the pilot,Yes i think so. I am unsure but can it somehow be programmed in or suggested by software/AI developers,7,9,8,8,"I believe if human training is involved, then responsibility lies with the trainer",3,5,Yes,"Being able to provide a delivery service without human input at any stage of the process, relying on autonomous drones",60d273217dd7dde4d8f21748,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,10,10,10,1,10,10,10,Yes,9,10,10,8,10,9,10,Yes,10,10,10,1,10,8,9,Yes,1,3,3,3,1,5,1,No,10,10,5,1,10,3,10,No,9,2,2,8,8,8,5,No,10,10,5,1,1,3,2,Yes,1,1,1,1,2,2,2,Yes,9,10,10,1,10,10,10,Yes,9,9,9,9,9,5,9,Yes,10,3,6,2,4,4,4,Yes,8,5,8,5,4,5,5,No,5,9,1,6,8,5,7,No,7,5,6,5,5,5,1,No,1,3,5,3,5,5,8,Yes,2,3,3,1,7,5,5
29,I have heard about drones before,the intentional decision to do something,if they chose a route which went through no-fly zones with no wind,yes because they make a decision,8,6,4,6,human pilots can make decisions based on motivation while AI has no motivation except what they are programmed to do,5,3,Yes,a computer software that makes decisions,60d6497b6f2147b24ee44732,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,10,10,7,1,10,9,10,Yes,10,10,5,10,10,10,10,Yes,1,1,3,2,3,3,6,Yes,0,0,3,6,3,2,4,No,10,10,8,3,10,6,8,No,4,10,4,7,8,5,5,Yes,0,1,3,0,2,2,4,No,0,0,1,3,4,2,6,Yes,10,10,9,1,8,10,10,Yes,10,10,3,10,9,9,10,Yes,2,6,7,1,4,6,5,Yes,0,1,4,5,4,5,7,No,10,10,8,0,9,9,10,No,7,9,4,10,8,10,10,Yes,1,4,6,0,3,4,7,Yes,0,2,3,4,5,4,6
31,I have heard about drones before,"Foresight, knowledge, ",Weather or not they followed the planned route,"Yes, although it would be programmed intent. ",8,8,2,1,The human pilot has more freedom to make a choice and is less able to be controlled by the trainer,5,4,Yes,"The drone is capable of making decisions regarding the route, it can also learn how to deal with unplanned situations",60e06ae17c1aacf5341d6f8c,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,0,10,10,0,10,10,10,Yes,10,10,5,10,10,10,10,Yes,0,0,10,0,0,0,0,Yes,1,0,7,0,0,0,0,No,10,10,10,0,10,10,10,No,0,7,0,10,10,10,10,Yes,10,0,10,0,0,0,0,No,0,0,9,0,0,5,0,Yes,10,10,10,0,10,10,10,Yes,10,10,5,10,10,10,10,Yes,0,0,10,0,0,0,0,Yes,0,0,10,0,0,0,0,No,10,10,10,0,10,10,10,No,10,10,0,10,10,10,10,Yes,0,0,10,0,0,0,0,Yes,0,0,0,0,0,0,0
33,I have heard about drones before,they only had intent if multiple conditions are met simultaneously without outside influence,comparing the pilots intended flight plan to the flight that actually happened regardless of if they entered no-fly zones,no they can't have intent because intent implies some form of motive behind it that I do not believe AI's can possess,6,10,4,10,"an employer always has responsibility to make sure his company is running safely and effectively, software programmers have a li",6,4,Yes,the intelligence to create and follow flight plans which also accommodate for weather conditions like wind which may disrupt the,60e0b8e9ecfb9fad8eb4b396,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,10,10,10,0,10,10,9,Yes,10,10,5,9,10,8,8,Yes,6,6,5,0,3,4,2,Yes,0,0,6,1,0,0,0,No,10,10,6,0,10,9,7,No,10,10,5,7,10,9,9,No,1,1,6,0,2,1,0,Yes,3,3,4,2,3,1,1,Yes,10,10,10,0,10,10,9,Yes,10,10,4,6,10,10,9,Yes,1,3,5,0,1,1,1,Yes,1,3,4,2,1,2,1,No,10,10,5,0,10,10,9,No,10,10,4,5,10,10,9,No,0,2,6,1,1,2,3,Yes,0,4,4,2,1,1,2
34,I have heard about drones before,"motivation, purpose, consciousness, awareness",whether there was wind or not,Yes if it is programmed to make it's own decisions rather than follow a specific code,6,5,8,7,I believe responsibility is a more human concept whereas AI is more ambiguous,6,1,Yes,a computer programme that freely controls the drone without human influence,60e1825f7bf27bc687dc20aa,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,10,10,10,0,10,5,10,Yes,10,8,1,8,8,5,5,Yes,10,7,7,0,5,4,9,Yes,5,5,4,3,4,5,8,Yes,10,8,8,0,8,7,9,Yes,9,9,5,5,9,5,6,No,1,3,3,0,7,5,5,Yes,2,4,3,1,3,3,6,Yes,10,8,9,0,9,9,9,Yes,8,5,2,8,8,8,8,Yes,7,7,7,1,6,4,7,Yes,6,5,5,6,3,3,8,Yes,8,8,8,1,8,8,9,Yes,10,7,5,5,8,8,9,No,2,2,3,1,3,5,9,No,5,1,2,3,5,5,7
35,I have heard about drones before,It was planned and deliberate (desired + foreseeably),Wind level and how close to the illegal zones the route was,"No, It has to be programmed in ",10,4,5,7,Human error is a factor and also the fact that drones have to be programmed so if there is an issue its been done deliberately t,6,1,Yes,Unmanned and programmed to follow orders of a route,60e1b97d9e85e47446db321d,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,0,10,10,0,10,0,9,Yes,10,10,5,7,7,2,2,Yes,3,8,8,2,5,2,5,Yes,5,6,5,4,5,6,6,No,10,10,6,1,10,8,4,No,10,6,6,6,4,4,4,Yes,0,9,8,1,7,3,7,Yes,5,6,5,3,4,5,5,Yes,10,10,10,0,10,1,10,Yes,10,10,3,7,9,10,3,Yes,3,9,7,2,7,6,9,Yes,4,4,6,4,7,5,3,No,10,10,5,2,10,5,7,No,10,10,3,7,10,2,7,No,1,8,9,1,8,9,2,Yes,2,7,7,1,6,3,9
37,I have heard about drones before,To not deviate from the desired flight plan,Flight plan vs wind vs flight time benefit,AI can have intent based on how it is programmed for a flight plan and how much benefit it can have on flight time,9,8,7,8,"Anyone who is involved in training, programming or setting up software related to the AI or flight plan procedures plays a part ",4,4,Yes,It is software that learns and does not need constant maintenance or direction in order to function,60e0b93c3038b854db4960ff,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,8,9,9,1,9,9,9,Yes,3,9,7,6,6,6,5,Yes,8,10,10,1,10,8,9,Yes,5,9,8,8,9,8,7,No,5,9,5,1,8,8,8,No,1,3,4,3,3,4,3,No,10,4,8,1,7,6,8,Yes,6,3,4,1,3,4,4,Yes,9,9,9,1,9,9,10,Yes,10,10,8,8,9,8,8,Yes,1,8,7,1,7,7,6,Yes,1,4,4,1,4,2,3,No,9,9,8,1,9,7,8,No,9,9,6,8,7,7,7,Yes,1,3,6,1,4,2,3,Yes,1,3,4,2,3,3,3
40,I have heard about drones before,Decisive action - a decision calculated and purposely chosen,The decisions they made based on the weather,Yes as they have been programmed this way,7,7,10,10,"Humans can make split second judgements at the time, the programmed machines can only make the decisions they have been programm",5,6,No,Robots- machines made by humans to complete technical jobs,60df6d0879c92942c997958b,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,10,10,10,1,9,9,10,Yes,7,8,6,6,10,9,10,Yes,10,10,8,1,8,8,7,Yes,10,7,8,2,8,7,7,No,10,10,10,1,10,10,10,No,10,10,10,6,9,10,7,No,7,9,10,1,10,10,7,No,8,1,7,7,10,9,9,Yes,10,10,10,1,10,10,10,Yes,10,10,3,10,10,10,10,Yes,10,10,10,1,8,7,8,No,1,1,3,4,2,4,6,No,10,10,6,1,10,9,10,No,10,1,4,3,9,9,10,No,10,3,4,0,10,9,7,No,1,1,4,5,8,7,8
